titulo,empresa,ubicacion,salario,modalidad,jornada,Area,pagina,habilidades_hard,habilidades_soft
Pasante De QA,Conauto C.A.,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, atención al detalle, comunicación, pensamiento crítico"
Analista QA Junior,SIPECOM S.A.,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"sql, postman, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, atención al detalle, creatividad"
Work From Home Junior QA Automation Research Development Ref. 0166E RD,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,bing,"java, python, c++, jira, excel, restful apis, scrum, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
Trabajo Desde Casa Analista De QA Senior Investigación Y Desarrollo Ref. 0027S RD,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Ingeniero De Procesos QA,Operadora y Procesadora Prod. Marinos OMARSA S.A.,Guayas,,,tiempo completo,QA,bing,"c#, jira, scrum, devops, dynamics 365, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas"
QA Automation Engineer,Devsu,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
QA Analyst,Jelou AI,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"java, python, postman, soap ui, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle"
QA Automation Engineer - Sector Financiero/Bancario,Devsu,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Senior Manual QA 3-6 Months - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,,QA,bing,"javascript, c#, c++, sql, kotlin, azure, scrum, ci/cd, redis, machine learning, nuxt.js, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Analista De Procesos QA,OMARSA S.A.,"Eloy Alfaro, Guayas",,,tiempo completo,QA,bing,"c#, jira, scrum, devops, dynamics 365, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas, atención al detalle"
Analista De Procesos QA,OMARSA S.A.,"Eloy Alfaro, Guayas",,,tiempo completo,QA,bing,"c#, jira, scrum, devops, dynamics 365, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas, atención al detalle"
Senior Manual QA 3-6 Months - Remote - Latin America,FullStack Labs,"Anywhere, El Oro",,Remoto,tiempo completo,QA,bing,"javascript, c#, c++, sql, kotlin, azure, scrum, ci/cd, redis, machine learning, nuxt.js, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
QA Automation Senior Work,BairesDev,"Machala, El Oro",,Remoto,tiempo completo,QA,bing,"sql, excel, microservicios, scrum, ci/cd, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo"
Campaign Performance And QA Analyst,Launch Potato,"Cuenca, Azuay",,Remoto,,QA,bing,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Digital Media QA Specialist,Launch Potato,"Cuenca, Azuay",,Remoto,tiempo completo,QA,bing,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Tracking And QA Analyst,Launch Potato,"Cuenca, Azuay",,Remoto,tiempo completo,QA,bing,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Marketing Operations QA Specialist,Launch Potato,"Cuenca, Azuay",,Remoto,tiempo completo,QA,bing,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
